seed,trial,snr,normalization_mode,tau,symbols,max_points,max_persistence,mean_persistence,persistence_entropy,normalized_entropy,h1_bar_count
1,8,30,shape_normalized,2,1000,200,0.6926051524515435,0.04414692901682072,1.5640961201255772,0.41846826495166073,42
1,9,30,shape_normalized,2,1000,200,1.0860223179286166,0.06632604018569108,1.610455884735687,0.43087165244833353,42
1,0,25,shape_normalized,2,1000,200,1.0311010285823328,0.09251623388725956,1.6485774402523061,0.46750110453659616,34
1,1,25,shape_normalized,2,1000,200,1.0961404940391324,0.12831995262061777,1.539129251301655,0.45708168483308975,29
1,2,25,shape_normalized,2,1000,200,1.0508760203255818,0.0898956970220224,1.6719317743370081,0.4473193045630637,42
1,3,25,shape_normalized,2,1000,200,1.0612832667786554,0.09656030379289816,1.6677705181366056,0.4729438486208496,34
1,4,25,shape_normalized,2,1000,200,1.0793801491269683,0.08365580793381293,1.5840953122399244,0.43869601873057085,37
1,5,25,shape_normalized,2,1000,200,1.0475236195541713,0.07047771477296537,1.7071657568560838,0.4458933548651417,46
1,6,25,shape_normalized,2,1000,200,1.04802881633427,0.08270159441246783,1.6790359070871799,0.4615796941600071,38
1,7,25,shape_normalized,2,1000,200,1.0414057601118516,0.108720579392717,1.6389487064962305,0.4609812255089418,35
1,8,25,shape_normalized,2,1000,200,1.0501510916860144,0.05979786467154424,1.8539831730529852,0.4763794397066699,49
1,9,25,shape_normalized,2,1000,200,0.7655733835821597,0.061557936000346716,1.7583470137219002,0.4799556233971109,39
1,0,20,shape_normalized,2,1000,200,0.9484780492788539,0.06409806500794832,1.9274692579438428,0.48319803625285956,54
1,1,20,shape_normalized,2,1000,200,1.0456682502301593,0.06481246497758274,2.089249658836241,0.5102769508246648,60
1,2,20,shape_normalized,2,1000,200,0.9965060967470254,0.04775962531676249,2.380641386396772,0.586300898747599,58
1,3,20,shape_normalized,2,1000,200,0.9027101869310564,0.059586117341910626,2.072970559488135,0.5354851255843139,48
1,4,20,shape_normalized,2,1000,200,1.029832477662535,0.07084011152099029,1.953647134360998,0.49688041048944837,51
1,5,20,shape_normalized,2,1000,200,0.9741623187759104,0.06285795280203493,2.1001448894314185,0.5341398845238841,51
1,6,20,shape_normalized,2,1000,200,1.0384124113749005,0.08123776838495558,2.0113095343792966,0.5141354055404312,50
1,7,20,shape_normalized,2,1000,200,0.5594773921534244,0.03846460139127984,2.4302911408636065,0.5985285680777377,58
1,8,20,shape_normalized,2,1000,200,0.9248844172311353,0.050920520299398794,2.12987180978574,0.5390383285570662,52
1,9,20,shape_normalized,2,1000,200,1.0411387175019786,0.11439470406518217,1.8774640191755885,0.5239163100347553,36
1,0,15,shape_normalized,2,1000,200,0.9500242500909942,0.060398673991621084,2.5020650331667538,0.6039062686590281,63
1,1,15,shape_normalized,2,1000,200,0.9164765545957694,0.07275448462810914,2.4718151972884974,0.616822980030073,55
1,2,15,shape_normalized,2,1000,200,0.7266284039706923,0.046920288371744744,2.7178943557737956,0.6782301920363346,55
1,3,15,shape_normalized,2,1000,200,0.8657233624854319,0.0616325336770375,2.6743274066050082,0.6673583859860324,55
1,4,15,shape_normalized,2,1000,200,0.8451685644787087,0.06026030901433944,2.7152930480936806,0.6745480287705711,56
1,5,15,shape_normalized,2,1000,200,0.9773499591654493,0.06272872232314489,2.5718124319626403,0.638903785197698,56
1,6,15,shape_normalized,2,1000,200,0.6351238098434079,0.058372297691049485,2.8263459409840457,0.7188380678584917,51
1,7,15,shape_normalized,2,1000,200,0.8919420397835102,0.0527962524816477,2.6192304365456165,0.6321856781198225,63
1,8,15,shape_normalized,2,1000,200,0.9557968475339366,0.06763058146373384,2.692740165209517,0.6576730717915205,60
1,9,15,shape_normalized,2,1000,200,0.990393782604035,0.056379611471138284,2.570397241262441,0.6277921171996877,60
1,0,10,shape_normalized,2,1000,200,0.6287108545593352,0.05199425630144509,3.432746506007872,0.8026688103483873,72
1,1,10,shape_normalized,2,1000,200,0.7014539933745074,0.05773785434498909,3.5309905349381796,0.8153331681938016,76
1,2,10,shape_normalized,2,1000,200,0.637655168986215,0.057634674018049836,3.2428280573946497,0.7857335756124694,62
1,3,10,shape_normalized,2,1000,200,0.5824166030241769,0.05653512202894009,3.423944658712966,0.8059193817200434,70
1,4,10,shape_normalized,2,1000,200,0.7134860528313547,0.04681690671888652,3.21309689287143,0.7669120943644487,66
1,5,10,shape_normalized,2,1000,200,0.6721943560598251,0.06870904614085756,3.0878306538392026,0.7452884971782108,63
1,6,10,shape_normalized,2,1000,200,0.5753763376892929,0.05967400050780092,3.52516424714808,0.8325639053530107,69
1,7,10,shape_normalized,2,1000,200,0.6656025242534286,0.05955826619943938,3.21024910321616,0.7748357983067883,63
1,8,10,shape_normalized,2,1000,200,0.6495028239018865,0.0531460662442612,3.5137240721628378,0.832733180662882,68
1,9,10,shape_normalized,2,1000,200,0.6983693160600152,0.05926533314827823,3.417341962409059,0.8043652558642447,70
1,0,5,shape_normalized,2,1000,200,0.4574386117710243,0.06422842134861517,3.976840652533608,0.9049690899950896,81
1,1,5,shape_normalized,2,1000,200,0.3326102383876224,0.06053677183761169,3.913755499263639,0.8957093965668693,79
1,2,5,shape_normalized,2,1000,200,0.32468384788815974,0.05464940108741425,4.094583003835164,0.9122108958181233,89
1,3,5,shape_normalized,2,1000,200,0.25170834964704936,0.06570147208554364,3.8576146559554174,0.9079955222203823,70
1,4,5,shape_normalized,2,1000,200,0.5158794409104219,0.06558313437036786,4.031047860923925,0.8980562310875003,89
1,5,5,shape_normalized,2,1000,200,0.338291871519352,0.06560205572394336,4.0287005204238975,0.9167703115054464,81
1,6,5,shape_normalized,2,1000,200,0.2799838649746488,0.06583094189297033,4.118204204012901,0.9197887884369138,88
1,7,5,shape_normalized,2,1000,200,0.3560787374401517,0.04958798817177117,3.822076321115938,0.8772852336840951,78
1,8,5,shape_normalized,2,1000,200,0.5706129222798462,0.06285131284002393,4.040513808058586,0.8979299357259328,90
1,9,5,shape_normalized,2,1000,200,0.41229838956171116,0.07411622083739976,3.8198511064570977,0.8931843169781843,72
1,0,0,shape_normalized,2,1000,200,0.33180687899234007,0.07207491948443204,4.2424941666336045,0.9153704946735501,103
1,1,0,shape_normalized,2,1000,200,0.3436673253671524,0.08113947151370879,4.24976934867998,0.9268919285578479,98
1,2,0,shape_normalized,2,1000,200,0.28966711840058945,0.07227097887181652,4.242874362461482,0.9317059866697995,95
1,3,0,shape_normalized,2,1000,200,0.28099041179057693,0.08230699239727801,4.239040702519504,0.9225092795774072,99
1,4,0,shape_normalized,2,1000,200,0.308219523780915,0.07406590187814839,4.215433325565176,0.9194031026775038,98
1,5,0,shape_normalized,2,1000,200,0.3344482519020249,0.07408793910344534,4.221032856561821,0.9290686734733138,94
1,6,0,shape_normalized,2,1000,200,0.26167961335760737,0.06875384495296707,4.360288435162051,0.9331153760662314,107
1,7,0,shape_normalized,2,1000,200,0.37523451291808296,0.07581418114595388,4.251456131810845,0.9192391617091074,102
1,8,0,shape_normalized,2,1000,200,0.4127742221696794,0.0767226009692841,4.068748071585298,0.9042044818946022,90
1,9,0,shape_normalized,2,1000,200,0.44056995792770914,0.09468885541607498,4.24169864961518,0.9151988520552989,103
1,0,-5,shape_normalized,2,1000,200,0.3946330982919142,0.0904904072270555,4.203231624069584,0.9167418621011302,98
1,1,-5,shape_normalized,2,1000,200,0.3130845279788492,0.08250432284328542,4.434137548927423,0.9379677993364222,113
1,2,-5,shape_normalized,2,1000,200,0.3824379752878433,0.0915655122550702,4.274688256026499,0.9203980347168405,104
1,3,-5,shape_normalized,2,1000,200,0.42698292112343716,0.08727977739911451,4.242834168193188,0.9116610046000027,105
1,4,-5,shape_normalized,2,1000,200,0.3189979127807878,0.08724296069732462,4.455218448706504,0.9289852019907472,121
1,5,-5,shape_normalized,2,1000,200,0.3209899811885708,0.08895595511900355,4.321795062882064,0.9230401398929872,108
1,6,-5,shape_normalized,2,1000,200,0.3170148118962516,0.09610161298534407,4.3993069227082335,0.9341286146720844,111
1,7,-5,shape_normalized,2,1000,200,0.48444408964933694,0.09236018472441554,4.306797319665484,0.9162462098571994,110
1,8,-5,shape_normalized,2,1000,200,0.37455288550090693,0.07125194512390925,4.322084746750593,0.9212884772674136,109
1,9,-5,shape_normalized,2,1000,200,0.3189036974419568,0.08267855257992103,4.330115881336242,0.9323323500045546,104
